	Df	SumOfSqs	R2	F	Pr(>F)	var	taxa
var2	1	3.29609401190608	0.0123409201097615	8.70909961913141	9.99900009999e-05	Drought	Eukaryotes
var8	1	2.71329893307114	0.0101588744877967	7.15340607244447	9.99900009999e-05	Runoff	Eukaryotes
var13	1	2.02744909494663	0.00759098108760424	5.33138425511145	9.99900009999e-05	Wind_Speed	Eukaryotes
var	1	1.95681553838381	0.00732652167732607	5.14427525325336	9.99900009999e-05	Actual_Evapotranspiration	Eukaryotes
var9	1	1.78441902884081	0.00668105114651388	4.6880135071369	9.99900009999e-05	Snow_Water_Equivalent	Eukaryotes
var5	1	1.72223454103066	0.00644822593177198	4.52358255679229	9.99900009999e-05	Potential_Evapotranspiration	Eukaryotes
var12	1	1.71950387547434	0.00643800203483357	4.51636377746839	9.99900009999e-05	Vapor_Pressure_Deficit	Eukaryotes
var7	1	1.66199285660959	0.00622267477575749	4.36436232606162	0.0001999800019998	Radiation	Eukaryotes
var10	1	1.63411607080851	0.00611830117923827	4.29070776430318	9.99900009999e-05	Soil_Moisture	Eukaryotes
var4	1	1.2210503786848	0.00457174010174212	3.20113762014346	0.0008999100089991	Min_Temperature	Eukaryotes
var6	1	1.21389801356541	0.0045449608999914	3.18230118173699	0.0013998600139986	Precipitation	Eukaryotes
var11	1	1.13157636610558	0.00423674005709796	2.96557217823703	0.0016998300169983	Vapor_Pressure	Eukaryotes
var1	1	0.888666604913688	0.00332726055016579	2.32684261510524	0.0108989101089891	Climate_Water_Deficit	Eukaryotes
var3	1	0.777832607836288	0.00291228649346807	2.03579249693959	0.0245975402459754	Max_Temperature	Eukaryotes
